id,timestamp,coordinate_x,coordinate_y,latitude,longitude,thresh,uuid,width,height,angle
463470,"2025-07-20 17:37:24.911034",3124,1239,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463494,"2025-07-20 17:43:48.509346",445,669,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463500,"2025-07-20 17:47:33.717055",811,2854,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463504,"2025-07-20 17:49:05.892843",2722,561,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463563,"2025-07-20 18:07:18.724617",3851,1286,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463565,"2025-07-20 18:07:39.872676",914,459,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463582,"2025-07-20 18:12:47.981851",2629,2944,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463592,"2025-07-20 18:16:59.152490",1924,1341,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463627,"2025-07-20 18:28:25.443204",3820,2764,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463630,"2025-07-20 18:28:42.952477",3318,723,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463631,"2025-07-20 18:28:42.952477",2163,0,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463666,"2025-07-20 18:40:59.959631",2995,688,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463696,"2025-07-20 18:50:53.519721",3492,823,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463705,"2025-07-20 18:54:29.820648",3381,627,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463717,"2025-07-20 18:57:39.205244",735,289,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463731,"2025-07-20 19:04:09.040237",709,2029,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463780,"2025-07-20 19:23:33.753848",3983,1031,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463800,"2025-07-20 19:32:31.485359",1887,1313,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463807,"2025-07-20 19:34:35.057128",2602,1992,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463814,"2025-07-20 19:36:21.365541",873,1162,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463825,"2025-07-20 19:41:59.636598",1336,1779,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463826,"2025-07-20 19:41:59.636598",2111,1061,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463828,"2025-07-20 19:41:59.636598",2295,39,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463831,"2025-07-20 19:42:51.764112",3522,2205,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463838,"2025-07-20 19:46:11.441803",3386,2384,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463841,"2025-07-20 19:47:29.497051",132,1131,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463850,"2025-07-20 19:51:40.668197",1490,119,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463890,"2025-07-20 20:06:18.956364",2901,1406,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463894,"2025-07-20 20:08:36.214211",1495,0,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463912,"2025-07-20 20:16:02.001039",3361,49,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463929,"2025-07-20 20:22:10.906289",532,3004,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463936,"2025-07-20 20:24:41.307700",2904,2092,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463957,"2025-07-20 20:32:15.888453",2941,740,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463960,"2025-07-20 20:32:27.963288",408,2883,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463962,"2025-07-20 20:32:27.963288",864,2868,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463963,"2025-07-20 20:32:27.963288",603,2311,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463966,"2025-07-20 20:34:06.788925",3429,289,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463968,"2025-07-20 20:34:46.436484",1200,2779,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463982,"2025-07-20 20:40:42.454707",334,1849,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463991,"2025-07-20 20:45:16.769892",844,2153,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
463992,"2025-07-20 20:45:16.769892",935,2089,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
464001,"2025-07-20 20:49:04.224056",2872,1395,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
464020,"2025-07-20 20:57:20.730381",3798,716,35.5,139.6,3,"Raspi Soramame Sora06-A",,,
